nct_id,title,status,phase,condition,gene_symbol
NCT03575819,A Phase 1 Study of FOR46 in Patients With Metastatic Castration-Resistant Prostate Cancer (mCRPC),COMPLETED,PHASE1,This study will test the safety and efficacy of FOR46 given every 21 days to patients with metastatic castration-resista,CD46
NCT01520623,Complement and Graft-versus-host Disease,COMPLETED,NA,Allogeneic haematopoietic stem cell transplantation (HSCT) often remains the only curative treatment for haematological ,CD46
NCT05892393,Imaging Study of [89Zr]DFO-YS5 for Detecting CD46 Positive Malignancy in Multiple Myeloma,RECRUITING,PHASE1,This phase I trial tests the safety of \[89Zr\]DFO-YS5 positron emission tomography (PET) imaging and how well it works ,CD46
NCT00390299,Viral Therapy in Treating Patients With Recurrent Glioblastoma Multiforme,COMPLETED,PHASE1,This phase I trial studies the side effects and best dose of carcinoembryonic antigen-expressing measles virus (MV-CEA) ,CD46
NCT05011188,FOR46 in Combination With Enzalutamide in Patients With Metastatic Castration Resistant Prostate Cancer,ACTIVE_NOT_RECRUITING,PHASE1,This is a Phase 1b/2 study evaluating FOR46 in combination with enzalutamide in patients with metastatic castration resi,CD46
NCT05245006,PET Imaging Study of 89Zr-DFO-YS5 in Men With Prostate Cancer,ACTIVE_NOT_RECRUITING,PHASE1,"CD46 is an exciting new therapeutic target in prostate cancer, with the antibody drug conjugate FOR46 under investigatio",CD46
NCT04808817,Relationship Between Immunity and Metabolism in Patients Receiving Immune Checkpoint Inhibitors for Advanced Cancer. ( RIMEC ),ACTIVE_NOT_RECRUITING,NA,"Recent EMA and FDA approvals have made immune checkpoint inhibitors (ICI) a standard of care in cancer treatment. ICI, u",CD46
NCT03650491,A Study of FOR46 in Patients With Relapsed or Refractory Multiple Myeloma (RRMM),COMPLETED,PHASE1,This study will test the safety and efficacy of FOR46 given every 21 days to patients with relapsed or refractory multip,CD46
NCT06842498,A Study of FG-3246 in Participants With Metastatic Castration-Resistant Prostate Cancer (mCRPC),RECRUITING,PHASE2,"The purpose of this study is to evaluate the safety, efficacy, tolerability, and pharmacokinetics (PK) of FG-3246, a clu",CD46
