depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000268,-0.8119870552438496,SNU-245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,True,EGFR
ACH-000269,-0.0214789720816152,AM-38,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000273,0.1915559401294773,SF539,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000281,0.133278232486006,KP-2,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000307,-0.6060459139543254,PK-1,Pancreatic Adenocarcinoma,Pancreas,True,EGFR
ACH-000315,-0.0640434872653537,KARPAS-422,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000317,-0.3529320093359804,TUHR14TKB,Renal Cell Carcinoma,Kidney,False,EGFR
ACH-000324,-0.5344321177272009,JHOC-5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,True,EGFR
ACH-000346,0.0416189086281104,JVM-3,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000355,-0.4242617621604789,NCI-H82,Lung Neuroendocrine Tumor,Lung,False,EGFR
ACH-000362,-0.0855689151836519,MOLM-13,Acute Myeloid Leukemia,Myeloid,False,EGFR
ACH-000364,-0.1931365356771373,U-2 OS,Osteosarcoma,Bone,False,EGFR
ACH-000401,-0.1468134130178583,COLO-800,Melanoma,Skin,False,EGFR
ACH-000405,-0.1885080586199942,MEC-1,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000408,-0.1862315790947739,TE-5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,EGFR
ACH-000481,0.0132686927352438,NCI-H2170,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000500,-0.1549356205561576,SNU-46,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,EGFR
ACH-000517,0.0845372570786212,SNU-410,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000541,-0.0893357919072056,KMS-34,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000550,-0.007254413162409,IGR-39,Melanoma,Skin,False,EGFR
ACH-000562,-0.3372994679821745,HCC-78,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000591,0.0505335608089608,LN-235,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000621,0.13213022793682,MDA-MB-157,Invasive Breast Carcinoma,Breast,False,EGFR
ACH-000645,-0.249476947251163,JL-1,Pleural Mesothelioma,Pleura,False,EGFR
ACH-000673,0.1837777916661871,LN-443,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000684,-0.3419558719407545,KMRC-1,Renal Cell Carcinoma,Kidney,False,EGFR
ACH-000696,-0.0297545593783024,OVCAR-8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,EGFR
ACH-000698,-0.0020008666380864,DMS 53,Lung Neuroendocrine Tumor,Lung,False,EGFR
ACH-000725,-0.0939693770794714,HCC202,Breast Ductal Carcinoma In Situ,Breast,False,EGFR
ACH-000734,-0.577997092068393,JHH-5,Hepatocellular Carcinoma,Liver,True,EGFR
ACH-000754,-0.0499774168117018,L-428,Hodgkin Lymphoma,Lymphoid,False,EGFR
ACH-000758,-0.4723978875374904,MKN74,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,EGFR
ACH-000769,-0.0237760144909316,LK-2,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000802,-0.0325984541624735,BFTC-905,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,EGFR
ACH-000804,-0.2808891899925061,NB-1,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-000833,-0.3780663333702383,RH-30,Rhabdomyosarcoma,Soft Tissue,False,EGFR
ACH-000836,-0.7477253287393709,YD-15,Head and Neck Squamous Cell Carcinoma,Head and Neck,True,EGFR
ACH-000856,-0.0426510640649794,CAL-51,Invasive Breast Carcinoma,Breast,False,EGFR
ACH-000869,-0.2065230566844143,NCI-H1568,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000887,-0.6068277853204693,SF-172,Diffuse Glioma,CNS/Brain,True,EGFR
ACH-000898,-0.6337496083452255,SNU-719,Esophagogastric Adenocarcinoma,Esophagus/Stomach,True,EGFR
ACH-000901,0.1070155101005216,HCC-1359,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000946,-0.4705328674008314,HEC-265,Endometrial Carcinoma,Uterus,False,EGFR
ACH-000976,-1.2538095238119338,HuCCT1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,True,EGFR
ACH-001016,0.0050451739920973,Becker,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-001039,0.2485256343778499,COLO 205,Colorectal Adenocarcinoma,Bowel,False,EGFR
ACH-001107,0.0955300769303588,KP-1N,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-001196,-0.0926687212917707,SMS-CTR,Rhabdomyosarcoma,Soft Tissue,False,EGFR
ACH-001197,-0.0249121840917005,SMZ-1,Non-Hodgkin Lymphoma,Lymphoid,False,EGFR
ACH-001301,0.02193166626707,COG-N-278,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-001344,-0.4502999876996844,GI-ME-N,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-001345,-0.2769292639567174,GP5d,Colorectal Adenocarcinoma,Bowel,False,EGFR
ACH-001360,0.0302707907923899,MS751,Cervical Squamous Cell Carcinoma,Cervix,False,EGFR
ACH-001388,-0.2086713858900696,SUM-102PT,Invasive Breast Carcinoma,Breast,False,EGFR
ACH-001415,-0.6803801834958902,UM-UC7,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,True,EGFR
ACH-001421,0.0221651227058215,WERI-Rb-1,Retinoblastoma,Eye,False,EGFR
ACH-001450,-0.0411502151288105,BLUE-1,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-001494,-0.3338885501112571,EGI-1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,EGFR
ACH-001496,-1.093530137574941,ESO26,Esophagogastric Adenocarcinoma,Esophagus/Stomach,True,EGFR
ACH-001500,0.0682858007795467,FLO-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,EGFR
ACH-001509,-0.7077101291329071,H357,Head and Neck Squamous Cell Carcinoma,Head and Neck,True,EGFR
ACH-001517,0.0051303000705332,HEC-1,Endometrial Carcinoma,Uterus,False,EGFR
ACH-001538,-0.3426131614290651,KKU-213,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,EGFR
ACH-001543,-0.0205202491036051,KOSC-2,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,EGFR
ACH-001613,0.002858411143295,OCI-AML4,Acute Myeloid Leukemia,Myeloid,False,EGFR
ACH-001616,-0.0724602965541085,OCI-LY18,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-001651,-0.2859805098828791,SKG-I,Cervical Squamous Cell Carcinoma,Cervix,False,EGFR
ACH-001662,-0.1384509671761382,SNU-2372,Invasive Breast Carcinoma,Breast,False,EGFR
ACH-001668,-0.1938616723752728,SUSA,Non-Seminomatous Germ Cell Tumor,Testis,False,EGFR
ACH-001685,0.1901470206756781,U-HO1,Hodgkin Lymphoma,Lymphoid,False,EGFR
ACH-001719,-0.1846306758598596,OCI-C4P,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,EGFR
ACH-001765,0.0269345604752275,Rh4,Rhabdomyosarcoma,Soft Tissue,False,EGFR
ACH-001786,-0.785366224533529,SNU-1544,Colorectal Adenocarcinoma,Bowel,True,EGFR
ACH-001820,-0.1110334184359127,COLO 824,"Breast Neoplasm, NOS",Breast,False,EGFR
ACH-001848,0.1074367249016624,MGH-ICC8,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,EGFR
ACH-001977,-0.3581155548457588,NO36,Pleural Mesothelioma,Pleura,False,EGFR
ACH-002018,0.0344320069714374,Omm2.5,Ocular Melanoma,Eye,False,EGFR
ACH-002069,-0.1516001854703282,HS-Os-1,Osteosarcoma,Bone,False,EGFR
ACH-002202,-0.4927631227686241,TMK-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,EGFR
ACH-002269,0.1248989752495461,LNZTA3WT4,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-002285,0.190273632743062,NB7,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-002490,0.270741310062449,NCI-H1882,Lung Neuroendocrine Tumor,Lung,False,EGFR
ACH-002687,-0.1167279083207705,WM3772F,Ocular Melanoma,Eye,False,EGFR
ACH-002708,-0.2901480668232687,DL-221,Liposarcoma,Soft Tissue,False,EGFR
ACH-002782,0.0760334215865901,NCC-UPS1-C1,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,False,EGFR
ACH-002785,0.14906685647374,NCC-LMS1-C1,Leiomyosarcoma,Soft Tissue,False,EGFR
ACH-003012,-0.2977271109900242,A549_CRAF_KD,Non-Small Cell Lung Cancer,Lung,False,EGFR
