tissue,median_tpm,gene_symbol
Brain,38.79,SSTR2
Brain,34.03,SSTR2
Spleen,10.61,SSTR2
Brain,8.946,SSTR2
Kidney,8.618,SSTR2
Brain,7.686,SSTR2
Brain,7.638,SSTR2
Brain,7.047,SSTR2
Brain,4.81,SSTR2
Pituitary,4.522,SSTR2
Adipose Tissue,4.1,SSTR2
Brain,4.066,SSTR2
Brain,3.661,SSTR2
Blood Vessel,3.502,SSTR2
Adipose Tissue,3.459,SSTR2
