tissue,median_tpm,gene_symbol
Skin,111.7,FAP
Uterus,34.86,FAP
Blood Vessel,23.64,FAP
Cervix Uteri,17.18,FAP
Blood Vessel,17.11,FAP
Cervix Uteri,14.97,FAP
Blood Vessel,14.02,FAP
Breast,9.434,FAP
Adipose Tissue,7.67,FAP
Adipose Tissue,6.016,FAP
Lung,5.886,FAP
Vagina,5.853,FAP
Salivary Gland,5.703,FAP
Esophagus,5.362,FAP
Fallopian Tube,4.742,FAP
