tissue,median_tpm,gene_symbol
Brain,60.73,FOLH1
Prostate,50.96,FOLH1
Brain,21.56,FOLH1
Brain,17.18,FOLH1
Salivary Gland,14.09,FOLH1
Brain,13.21,FOLH1
Brain,10.95,FOLH1
Brain,9.827,FOLH1
Nerve,9.481,FOLH1
Brain,8.679,FOLH1
Brain,5.176,FOLH1
Liver,4.945,FOLH1
Brain,4.667,FOLH1
Brain,4.666,FOLH1
Spleen,2.683,FOLH1
