tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,0.2491,0.5549,0.1152,0.5537,663,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Adrenal Gland,Adrenal Gland,Adrenal_Gland,0.2247,0.2778,0.1402,0.3656,258,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Stomach,Stomach,Stomach,0.2075,0.4081,0.0819,0.5151,359,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Pituitary,Pituitary,Pituitary,0.1085,0.2231,0.0531,0.2135,283,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Pancreas,Pancreas,Pancreas,0.0758,0.1015,0.0454,0.1358,328,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Heart - Left Ventricle,Heart,Heart_Left_Ventricle,0.0525,0.0764,0.022,0.0941,432,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Muscle - Skeletal,Muscle,Muscle_Skeletal,0.0298,0.0529,0.0,0.0647,803,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Cells - EBV-transformed lymphocytes,Blood Vessel,Cells_EBV-transformed_lymphocytes,0.0082,0.0194,0.0,0.0284,174,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Whole Blood,Blood,Whole_Blood,0.0,0.0207,0.0,0.0255,755,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,0.0,0.0277,0.0,0.0348,504,TPM,gtex_v8,FOLH1,ENSG00000086205.16
