tissue,type,ntpm,staining_intensity,data_source
stomach 1,normal,293.9,,HPA_rna
Cholangiocytes,single_cell,54.5,,HPA_rna
Early spermatids,single_cell,334.7,,HPA_rna
Foveolar cells,single_cell,82.8,,HPA_rna
Gastric chief cells,single_cell,287.2,,HPA_rna
Late primary spermatocytes,single_cell,43.3,,HPA_rna
Mucous neck cells,single_cell,80.2,,HPA_rna
Pancreatic duct cells,single_cell,35.2,,HPA_rna
Parietal cells,single_cell,107.8,,HPA_rna
