depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000653,0.0935233221124699,JJN-3,Mature B-Cell Neoplasms,Lymphoid,False,MSLN
ACH-000672,-0.2073874478147191,IA-LM,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000677,0.031181532764683,SW 1573,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000693,0.0608227142333055,KYSE-180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,MSLN
ACH-000699,0.1923957917723616,HCC1395,Invasive Breast Carcinoma,Breast,False,MSLN
ACH-000766,0.1224983654732904,NCI-H1648,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000771,0.0549567625322864,BICR 56,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,MSLN
ACH-000866,0.0451952030095367,NCI-H1048,Lung Neuroendocrine Tumor,Lung,False,MSLN
ACH-000903,-0.0112103142912941,FTC-133,Well-Differentiated Thyroid Cancer,Thyroid,False,MSLN
ACH-000920,0.1307026798698727,CML-T1,Myeloproliferative Neoplasms,Myeloid,False,MSLN
ACH-000938,-0.0611621542490676,NALM-6,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,MSLN
ACH-000958,0.0953769376643792,SW48,Colorectal Adenocarcinoma,Bowel,False,MSLN
ACH-000968,0.078718300004129,COLO 792,Melanoma,Skin,False,MSLN
ACH-000991,0.0254203834035425,SNU-81,Colorectal Adenocarcinoma,Bowel,False,MSLN
ACH-000995,-0.3517299952491995,JURKAT,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,MSLN
ACH-000996,0.0915378831871309,HEC-251,Endometrial Carcinoma,Uterus,False,MSLN
ACH-000997,0.1084606078462962,HCT-15,Colorectal Adenocarcinoma,Bowel,False,MSLN
ACH-001033,0.0237471346312015,CHLA-57,Embryonal Tumor,CNS/Brain,False,MSLN
ACH-001163,0.1554862605917483,CCLF_PEDS_0001_T,Renal Cell Carcinoma,Kidney,False,MSLN
ACH-001164,0.2447702130761098,CCLF_PEDS_0003_T,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,False,MSLN
ACH-001188,-0.1016567030260904,SH-SY5Y,Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-001270,0.0115436699512155,1273/99,Synovial Sarcoma,Soft Tissue,False,MSLN
ACH-001353,-0.0062540220086654,JOPACA-1,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-001356,0.0802041902613793,MB-1,Anaplastic Thyroid Cancer,Thyroid,False,MSLN
ACH-001368,0.0113858813283811,OAC-M5.1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MSLN
ACH-001394,0.1384632584235248,SUM-229PE,Invasive Breast Carcinoma,Breast,False,MSLN
ACH-001400,-0.1531401270020417,SW 954,Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,False,MSLN
ACH-001416,0.1614496027478459,UM-UC9,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,MSLN
ACH-001515,0.0326712666533806,HCS-2,Cervical Squamous Cell Carcinoma,Cervix,False,MSLN
ACH-001528,-0.1034920040837727,IHH-4,Well-Differentiated Thyroid Cancer,Thyroid,False,MSLN
ACH-001577,0.0230465411994854,MUTZ-8,Acute Myeloid Leukemia,Myeloid,False,MSLN
ACH-001622,0.0680615871391054,Onda 7,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-001653,0.080523036677912,SK-GT-2,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MSLN
ACH-001654,-0.0178759435867781,SK-GT-4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MSLN
ACH-001676,0.0547452836996635,Ty-82,"Head and Neck Carcinoma, Other",Head and Neck,False,MSLN
ACH-001709,0.1122871405209889,WSU-NHL,Mature B-Cell Neoplasms,Lymphoid,False,MSLN
ACH-001736,0.0804527639433668,HB1119,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,MSLN
ACH-001745,0.04577855045279,RhJT,Rhabdomyosarcoma,Soft Tissue,False,MSLN
ACH-001858,0.1129517346980168,SSP-25,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,MSLN
ACH-001863,0.1644097498256197,TKKK,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,MSLN
