depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-001033,0.1675986311434801,CHLA-57,Embryonal Tumor,CNS/Brain,False,GRPR
ACH-001163,0.0643979981895519,CCLF_PEDS_0001_T,Renal Cell Carcinoma,Kidney,False,GRPR
ACH-001164,0.4607587592998176,CCLF_PEDS_0003_T,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,False,GRPR
ACH-001188,0.034554293153059,SH-SY5Y,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-001270,0.0886238644455008,1273/99,Synovial Sarcoma,Soft Tissue,False,GRPR
ACH-001353,-0.0025208704496611,JOPACA-1,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-001356,0.2853457606122422,MB-1,Anaplastic Thyroid Cancer,Thyroid,False,GRPR
ACH-001368,0.0792669655962081,OAC-M5.1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-001394,0.0666021008664073,SUM-229PE,Invasive Breast Carcinoma,Breast,False,GRPR
ACH-001400,-0.0807358469745843,SW 954,Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,False,GRPR
ACH-001416,-0.0429307408863977,UM-UC9,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,GRPR
ACH-001515,0.0778579866696313,HCS-2,Cervical Squamous Cell Carcinoma,Cervix,False,GRPR
ACH-001528,0.0411757314592921,IHH-4,Well-Differentiated Thyroid Cancer,Thyroid,False,GRPR
ACH-001577,-0.040229304370985,MUTZ-8,Acute Myeloid Leukemia,Myeloid,False,GRPR
ACH-001622,0.0855533233515723,Onda 7,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-001653,0.0559469917021868,SK-GT-2,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-001654,0.0665552823386164,SK-GT-4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-001676,-0.0307510069792869,Ty-82,"Head and Neck Carcinoma, Other",Head and Neck,False,GRPR
ACH-001709,0.0486504072692506,WSU-NHL,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-001736,0.0321544218967606,HB1119,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,GRPR
ACH-001745,0.3628105340463192,RhJT,Rhabdomyosarcoma,Soft Tissue,False,GRPR
ACH-001858,0.0712977955505207,SSP-25,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,GRPR
ACH-001863,-0.0218993473333956,TKKK,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,GRPR
ACH-001864,0.1097880553808928,YSCCC,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,GRPR
ACH-001959,0.0943978019424802,CC-LP-1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,GRPR
ACH-001992,0.0133564940954569,ONE58,Pleural Mesothelioma,Pleura,False,GRPR
ACH-002021,0.0916952411352387,T3M-3,Gestational Trophoblastic Disease,Uterus,False,GRPR
ACH-002025,-0.0693571582863603,TT1TKB,Colorectal Adenocarcinoma,Bowel,False,GRPR
ACH-002033,0.0428239477126655,HMMME,Pleural Mesothelioma,Pleura,False,GRPR
ACH-002048,0.0461272559008244,RMS-YM,Rhabdomyosarcoma,Soft Tissue,False,GRPR
ACH-002080,0.1308352086572724,TN-2,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-002105,0.1463399563692839,ES4,Ewing Sarcoma,Bone,False,GRPR
ACH-002119,-0.1582449498435817,EW-7,Ewing Sarcoma,Bone,False,GRPR
ACH-002156,0.2690573666314415,LC-1-sq,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-002230,0.148134287838174,D-542MG,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-002234,-0.0930491654920099,DOK,"Head and Neck Carcinoma, Other",Head and Neck,False,GRPR
ACH-002250,-0.0574774309725445,JHU-022,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,GRPR
ACH-002251,0.1740206874345223,JHU-029,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,GRPR
ACH-002461,0.1699188031997716,RVH421 SKIN FV1,Melanoma,Skin,False,GRPR
ACH-002709,-0.0403005319584728,CMS,Acute Myeloid Leukemia,Myeloid,False,GRPR
ACH-002925,-0.0123793453790331,UPMM3,Ocular Melanoma,Eye,False,GRPR
ACH-000030,0.08417614211369,PC-14,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000054,0.2112749056496424,HT-1080,Fibrosarcoma,Soft Tissue,False,GRPR
ACH-000082,0.1169582865000909,"G-292, clone A141B1",Osteosarcoma,Bone,False,GRPR
ACH-000118,0.1467200496951234,HUP-T3,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000152,0.0336452393364625,M059K,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000188,0.0362237939654681,SCC-25,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,GRPR
ACH-000192,-0.0474724430934327,MFE-280,Endometrial Carcinoma,Uterus,False,GRPR
ACH-000200,-0.0566041170166103,NMC-G1,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000203,0.2902688338087209,NH-6,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-000209,0.0082121715672178,SNU-1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,GRPR
ACH-000271,0.0110241645272382,SU-DHL-10,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-000274,0.0240646297072337,Hs 852.T,Melanoma,Skin,False,GRPR
ACH-000305,-0.0223126942503668,EC-GI-10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,GRPR
ACH-000313,0.0217241338919612,KMRC-3,Renal Cell Carcinoma,Kidney,False,GRPR
ACH-000374,0.0018062041385069,HCC1143,Invasive Breast Carcinoma,Breast,False,GRPR
ACH-000396,0.088258813657874,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,GRPR
ACH-000410,0.1186214010113941,Saos-2,Osteosarcoma,Bone,False,GRPR
ACH-000425,0.0879212792318608,UACC-62,Melanoma,Skin,False,GRPR
ACH-000442,-0.031123054212859,RERF-LC-Sq1,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000448,0.1058955384376731,NCI-H1666,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000452,0.0132765218671276,TE-8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,GRPR
ACH-000459,0.1625610623574468,TUHR10TKB,Renal Cell Carcinoma,Kidney,False,GRPR
ACH-000463,-0.0099426479374543,NCI-H460,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000472,0.1377684623930659,HSC-2,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,GRPR
ACH-000510,0.0817630111792632,NCI-H1299,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000519,-0.0075703545224477,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,GRPR
ACH-000525,0.1164420412624449,NCI-H2171,Lung Neuroendocrine Tumor,Lung,False,GRPR
ACH-000557,-0.0721794342220593,AML-193,Acute Myeloid Leukemia,Myeloid,False,GRPR
ACH-000577,0.198864871457991,JHH-2,Hepatocellular Carcinoma,Liver,False,GRPR
ACH-000587,0.0702758420100964,NCI-H1975,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000589,0.0498418054351703,NCI-H1437,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000627,0.0816250042902503,LCLC-103H,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000631,-0.011013084548364,KS-1,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000637,0.0533399321704388,KYSE-520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,GRPR
ACH-000647,-0.0309688583754131,TE-1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,GRPR
ACH-000660,-0.0168277115144195,SU-DHL-5,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-000667,0.1185175657375224,HCC-44,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000676,0.0959023176101697,LN-464,Melanoma,Skin,False,GRPR
ACH-000700,-0.0205371431083588,NCI-H2882,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000704,0.1491459881206696,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,GRPR
ACH-000706,0.065769468278981,EKVX,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000718,0.2375030555499834,NCI-H2291,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000722,0.1463155901789379,SNU-C1,Colorectal Adenocarcinoma,Bowel,False,GRPR
ACH-000740,-0.0736381985202819,A-253,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,GRPR
ACH-000760,0.0726848927588934,LNZ308,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000776,0.302010001638588,ONS-76,Embryonal Tumor,CNS/Brain,False,GRPR
ACH-000787,-0.0009105584968058,LXF-289,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000829,0.2096477202721948,HuNS1,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-000834,0.1806004925073045,UM-UC-1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,GRPR
ACH-000837,0.1958072817101455,NCI-H322,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000859,0.0938814495404217,HCC1954,Breast Ductal Carcinoma In Situ,Breast,False,GRPR
ACH-000884,0.0470825007089301,MDA-MB-435S,Melanoma,Skin,False,GRPR
ACH-000896,-0.0152638617013396,647-V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,GRPR
ACH-000911,0.1098382782993985,NUGC-3,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-000916,0.087351575417677,NCI-H1573,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000947,-0.0673214232329595,OVK18,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,GRPR
ACH-000993,-0.0787591221948346,JHUEM-7,Endometrial Carcinoma,Uterus,False,GRPR
ACH-001029,0.0742134490661502,CHLA-10,Ewing Sarcoma,Bone,False,GRPR
ACH-001190,0.1320930085215013,SK-MEL-2,Melanoma,Skin,False,GRPR
ACH-001194,0.085797978125589,SK-RC-31,Renal Cell Carcinoma,Kidney,False,GRPR
ACH-001278,0.0444015567772806,BIN-67,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,GRPR
ACH-001300,0.1921959507778259,CHLA-15,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-001318,-0.1124633115154797,PLC/PRF/5,Hepatocellular Carcinoma,Liver,False,GRPR
ACH-001375,0.1139966687512395,PACADD-119,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-001532,-0.0222792521413491,JMU-RTK-2,Rhabdoid Cancer,Kidney,False,GRPR
ACH-001568,-0.1480760669559822,MM386,Melanoma,Skin,False,GRPR
ACH-001578,0.0548670381373927,NCCIT,Non-Seminomatous Germ Cell Tumor,Testis,False,GRPR
