nct_id,title,status,phase,condition,gene_symbol
NCT03697551,Define the Optimal Uptake Time of 68Ga-OPS202 When Used as a PET (Positron Emission Tomography) Imaging Agent in Subjects With Newly Diagnosed Breast Cancer,TERMINATED,PHASE2,The purpose of this clinical research is to define the optimal uptake time of 68Ga-OPS202 as a PET imaging agent to be u,SSTR2
NCT01967537,Evaluation of 68Gallium-DOTATATE PET/CT for Detecting Neuroendocrine Tumors,COMPLETED,PHASE2,"Background:

\- Neuroendocrine tumors (NETs) are rare but have been more common over the past decade. The only treatment",SSTR2
NCT04081701,68-Ga DOTATATE PET/MRI in the Diagnosis and Management of Somatostatin Receptor Positive CNS Tumors.,RECRUITING,PHASE4,The study population consists of patients who undergo resection for somatostatin receptor-positive (SSTR-positive) CNS t,SSTR2
NCT04997317,Treatment of Recurrent or Progressive Meningiomas With the Radiolabelled Somatostatin Antagonist 177Lu-satoreotide,RECRUITING,PHASE1,Meningiomas are known to be the most frequent intracranial neoplasms and account for approx. 25-33% of all intracranial ,SSTR2
NCT06456359,Pasireotide as Maintenance Treatment in Synovial Sarcoma and Desmoplastic Small Round Cell Tumor,RECRUITING,PHASE2,"PAMSARC is a non-commercial interventional Phase 2 clinical trial of academic research institutions, with its primary go",SSTR2
NCT02102893,Gastroenteral-Pancreatic Neuroendocrine Tumors in Taiwan,COMPLETED,NA,Neuroendocrine tumors (NETs) are neoplasms originating from neuroendocrine cells located throughout the body. They secre,SSTR2
NCT04903899,177Lutetium-DOTATATE in Children With Primary Refractory or Relapsed High-risk Neuroblastoma,RECRUITING,PHASE2,The LuDO-N Trial is a multi-centre phase II clinical trial on 177Lu-DOTATATE treatment of recurrent or relapsed high-ris,SSTR2
NCT02817945,Dual SSTR2 and Integrin αvβ3 Targeting PET/CT Imaging,UNKNOWN,EARLY_PHASE1,This is an open-label positron emission tomography/computed tomography (PET/CT) study to investigate the diagnostic perf,SSTR2
NCT06939036,Study of 225Ac-SS0110 in Subjects With ES-SCLC or MCC (SANTANA-225 ),TERMINATED,PHASE1,"This study aims to determine safety, tolerability, recommended phase 2 dose (RP2D), and preliminary antitumor activity o",SSTR2
NCT03773133,"Evaluate the Safety, Tolerability, Biodistribution and Anti Tumour Activity of 177LU-OPS201 With Companion Imaging 68Ga-OPS202 PET/CT in Previously Treated Subjects With Locally Advanced or Metastatic",TERMINATED,PHASE1,This study consists of two phases. The phase I study is designed to investigate the safety and tolerability of Satoreoti,SSTR2
NCT03220217,To Evaluate the Optimal Dose of 68Ga-OPS202 as a PET (Positron Emission Tomography) Imaging Agent in Subjects With Gastroenteropancreatic Neuroendocrine Tumour (GEP-NET),COMPLETED,PHASE2,"The purpose of this clinical research is to confirm the optimal dose of 68Ga-satoreotide trizoxetan (68Ga-IPN01070), for",SSTR2
NCT07129252,A Study to Investigate Safety and Effectiveness of CRN09682 in Participants With SST2-Expressing NENs and Other Solid Tumors,RECRUITING,PHASE1,"This Phase 1/2, multicenter, open-label, FIH study aims to evaluate the safety, tolerability, PK, and preliminary antitu",SSTR2
NCT02609737,Theranostics of Radiolabeled Somatostatin Antagonists 68Ga-DOTA-JR11 and 177Lu-DOTA-JR11 in Patients With Neuroendocrine Tumors,COMPLETED,NA,This study has 3 steps and not everyone will have all 3 steps done. The overall goals are to see if a new experimental d,SSTR2
NCT04043377,68Ga-DOTATATE PET-CTA Imaging for the Early Detection of Progressing Coronary Atherosclerosis,TERMINATED,PHASE3,68Ga-DOTATATE is a PET radiotracer with high affinity and selectivity for somatostatin receptor 2 (SSTR 2) and is approv,SSTR2
NCT03576040,Whole Body Dynamic 68Ga-DOTATOC PET/CT in Neuroendocrine Tumors,COMPLETED,NA,Neuroendocrine tumors (NET) are a network of rare tumors with common embryological origin. Functional imaging plays a ma,SSTR2
NCT05636618,Targeted Alpha-Particle Therapy for Advanced Somatostatin Receptor Type 2 (SSTR2) Positive Tumors,RECRUITING,PHASE1,This study is Phase I/IIa First-in-Human Study of \[212Pb\]VMT-α-NET Targeted Alpha-Particle Therapy for Advanced SSTR2 ,SSTR2
