cancer_type,cd276_mean,cd276_median,cd276_std,n_samples,expression_rank,gene_median,gene_mean
SARC,12.217259259259258,12.28,0.9782694357892647,135,1,12.28,12.217259259259258
SKCM,12.070983606557379,12.04,0.7129248448748143,122,2,12.04,12.070983606557379
HNSC,11.62298245614035,11.780000000000001,0.9254837814775496,114,3,11.780000000000001,11.62298245614035
ACC,11.648354430379747,11.58,0.8139196558026566,79,4,11.58,11.648354430379747
GBM,11.504375,11.565000000000001,0.6902451060685708,32,5,11.565000000000001,11.504375
LUSC,11.441309523809524,11.515,0.7158643362626096,168,6,11.515,11.441309523809524
PAAD,11.423495145631069,11.43,0.6344979623228827,103,7,11.43,11.423495145631069
TGCT,11.407816091954023,11.35,0.4396018951843428,87,8,11.35,11.407816091954023
UCEC,11.294132231404959,11.3,0.565590649117492,121,9,11.3,11.294132231404959
PRAD,11.3189375,11.245000000000001,0.6051795272645344,160,10,11.245000000000001,11.3189375
BLCA,11.200260869565216,11.21,0.7310848234434995,115,11,11.21,11.200260869565216
BRCA,11.134347826086957,11.09,0.6280405823069369,138,12,11.09,11.134347826086957
KIRP,10.924779411764705,10.97,0.6436918596965877,136,13,10.97,10.924779411764705
LUAD,10.935056818181819,10.945,0.556045216207758,176,14,10.945,10.935056818181819
COAD,10.837123287671233,10.85,0.5912102827999753,146,15,10.85,10.837123287671233
PCPG,10.865751633986928,10.84,0.5831523823722162,153,16,10.84,10.865751633986928
OV,10.867441860465117,10.825,0.5698796282529099,86,17,10.825,10.867441860465117
LIHC,10.828417266187051,10.79,0.6544200430481915,139,18,10.79,10.828417266187051
CESC,10.74920792079208,10.76,0.9183492616301457,101,19,10.76,10.74920792079208
STAD,10.664545454545454,10.754999999999999,0.7225858607545457,132,20,10.754999999999999,10.664545454545454
THCA,10.472012578616352,10.65,0.6886133377699714,159,21,10.65,10.472012578616352
KIRC,10.457852348993288,10.49,0.72455537508557,149,22,10.49,10.457852348993288
LGG,10.119344262295082,10.094999999999999,0.8002713772203842,122,23,10.094999999999999,10.119344262295082
THYM,9.295702479338843,9.48,1.0111098081203316,121,24,9.48,9.295702479338843
LAML,5.139815950920245,5.27,2.3849226693451384,163,25,5.27,5.139815950920245
