tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Brain - Cortex,Brain,Brain_Cortex,6.467,8.299,4.725,9.235,255,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Substantia nigra,Brain,Brain_Substantia_nigra,6.267,8.6755,4.189,10.3,139,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Anterior cingulate cortex (BA24),Brain,Brain_Anterior_cingulate_cortex_BA24,6.085,7.441,4.549,8.712,176,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Adrenal Gland,Adrenal Gland,Adrenal_Gland,5.678,5.8543,4.404,6.78,258,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Cerebellum,Brain,Brain_Cerebellum,5.48,6.2684,3.996,7.43,241,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Spinal cord (cervical c-1),Brain,Brain_Spinal_cord_cervical_c-1,5.168,6.2182,3.299,7.229,159,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Frontal Cortex (BA9),Brain,Brain_Frontal_Cortex_BA9,4.925,6.4867,3.608,7.36,209,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Hypothalamus,Brain,Brain_Hypothalamus,4.783,6.1405,3.016,7.259,202,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Hippocampus,Brain,Brain_Hippocampus,4.517,5.3182,2.821,6.484,197,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Cells - EBV-transformed lymphocytes,Blood Vessel,Cells_EBV-transformed_lymphocytes,4.507,4.4865,3.777,5.143,174,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,3.611,4.0168,2.755,4.695,215,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Whole Blood,Blood,Whole_Blood,1.249,2.3582,0.6545,2.91,755,TPM,gtex_v8,ERBB2,ENSG00000141736.13
