cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,38.0,41.0,0.3545616543167557,0.8570638659183122,False,,,,,
ACC,OS,,,,,False,0.9397061545166463,0.7893934278839527,1.1186407507895775,0.48437644253918266,79.0
ACC,PFI,38.0,41.0,0.2926046484920315,1.1075981750358812,False,,,,,
BLCA,OS,53.0,62.0,0.4740141867944285,0.51260303809266,False,,,,,
BLCA,OS,,,,,False,1.0302919936769928,0.9445112539453905,1.1238633608660908,0.5010505171769991,115.0
BLCA,PFI,53.0,62.0,0.5499252880115701,0.3574510288996117,False,,,,,
BRCA,OS,55.0,83.0,0.5756565625427088,0.3133092481081423,False,,,,,
BRCA,OS,,,,,False,1.020287699383597,0.8873248418553621,1.1731746260330205,0.7779991670066112,138.0
BRCA,PFI,55.0,83.0,0.7211386495711491,0.1274043272291513,False,,,,,
CESC,OS,58.0,43.0,0.014094417742224013,6.026278610972011,True,,,,,
CESC,OS,,,,,True,0.7991674421938813,0.6674479035920652,0.9568815741656084,0.014703569378861263,101.0
CESC,PFI,58.0,43.0,0.016665106620221574,5.731303669892528,True,,,,,
COAD,OS,90.0,56.0,0.8328276597586077,0.04455324429371259,False,,,,,
COAD,OS,,,,,False,1.0388099231458883,0.906661318978214,1.1902195823711947,0.5833634354759547,146.0
COAD,PFI,90.0,56.0,0.7875246985312252,0.07264443183561191,False,,,,,
HNSC,OS,66.0,48.0,0.24465650253836235,1.3535612233240946,False,,,,,
HNSC,OS,,,,,False,0.89357549240949,0.7838234002451127,1.0186952320958615,0.09238743355579293,114.0
HNSC,PFI,66.0,48.0,0.40714357604238705,0.6871262409897291,False,,,,,
KIRC,OS,31.0,118.0,0.03234503930876446,4.580115249680184,True,,,,,
KIRC,OS,,,,,True,1.3802477318961315,1.0884510465615405,1.7502705403450616,0.007828312687855122,149.0
KIRC,PFI,31.0,118.0,0.005605610430929963,7.672906062837329,True,,,,,
KIRP,OS,36.0,100.0,0.08567813141291274,2.9537576350196137,False,,,,,
KIRP,OS,,,,,True,1.3108905075582908,1.0969593247327636,1.5665429738929206,0.002901294670928926,136.0
KIRP,PFI,36.0,100.0,0.1312071242947947,2.2781638864272624,False,,,,,
LAML,OS,,,,,False,1.0258267016364417,0.9151261180317992,1.149918465941691,0.6616364827389012,163.0
LGG,OS,,,,,False,1.1001219408058447,0.8830148351489124,1.3706092315406206,0.394913944400058,122.0
LIHC,OS,42.0,97.0,0.49908560116211464,0.4568802754691554,False,,,,,
LIHC,OS,,,,,False,1.021735311633545,0.8901785653753693,1.1727344239059374,0.7597905454197076,139.0
LIHC,PFI,42.0,97.0,0.7828681352815373,0.07594615705621836,False,,,,,
LUAD,OS,125.0,51.0,0.03562427521389225,4.415000166464258,True,,,,,
LUAD,OS,,,,,False,0.9111743131166975,0.8301210416303638,1.0001416507321519,0.05034933345250025,176.0
LUAD,PFI,125.0,51.0,0.10174818496261434,2.6779256769223356,False,,,,,
LUSC,OS,128.0,40.0,0.28513628918356726,1.1424449514078512,False,,,,,
LUSC,OS,,,,,False,0.9058152794240352,0.818418986140934,1.0025443377198855,0.05602046940059752,168.0
LUSC,PFI,128.0,40.0,0.6319081780372686,0.22948200793255785,False,,,,,
OV,OS,38.0,48.0,0.05320037342757731,3.737613665694029,False,,,,,
OV,OS,,,,,True,0.8195005899979522,0.7048272036882481,0.9528310109097868,0.0096480532425297,86.0
OV,PFI,38.0,48.0,0.040411111570606596,4.200539894282904,True,,,,,
PAAD,OS,62.0,41.0,0.33696509248697604,0.9219438704661939,False,,,,,
PAAD,OS,,,,,False,0.972590853901119,0.8843398699323601,1.0696486738344824,0.5668869471367496,103.0
PAAD,PFI,62.0,41.0,0.3183120187850581,0.9958695722863817,False,,,,,
PRAD,OS,51.0,109.0,0.07873081119613387,3.090909090909091,False,,,,,
PRAD,OS,,,,,False,1.574352329778261,0.3766300612225933,6.58095439921181,0.5340113069925695,160.0
