depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000463,-0.0177301795939506,NCI-H460,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000472,-0.0537512014896209,HSC-2,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CLDN18
ACH-000510,0.0306270303441536,NCI-H1299,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000519,-0.0528778525602482,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CLDN18
ACH-000525,-0.069443879935922,NCI-H2171,Lung Neuroendocrine Tumor,Lung,False,CLDN18
ACH-000557,-0.0931067845676063,AML-193,Acute Myeloid Leukemia,Myeloid,False,CLDN18
ACH-000577,0.0436003542690074,JHH-2,Hepatocellular Carcinoma,Liver,False,CLDN18
ACH-000587,-0.0531111248163535,NCI-H1975,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000589,0.0555723503962739,NCI-H1437,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000627,0.032056577943726,LCLC-103H,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000631,-0.0500903964172594,KS-1,Diffuse Glioma,CNS/Brain,False,CLDN18
ACH-000637,-0.1168511404749638,KYSE-520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000647,-0.089678173276776,TE-1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000660,-0.0561671788942041,SU-DHL-5,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-000667,0.2351117326623908,HCC-44,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000676,-0.1297458147387451,LN-464,Melanoma,Skin,False,CLDN18
ACH-000700,-0.0420175674943574,NCI-H2882,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000704,-0.1130358740492738,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CLDN18
ACH-000706,0.0096922269362516,EKVX,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000718,0.1473600472713268,NCI-H2291,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000722,0.1498244099475602,SNU-C1,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000740,0.0291095469915731,A-253,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CLDN18
ACH-000760,0.0947002759667316,LNZ308,Diffuse Glioma,CNS/Brain,False,CLDN18
ACH-000776,0.1745720532323301,ONS-76,Embryonal Tumor,CNS/Brain,False,CLDN18
ACH-000787,0.0419434927128481,LXF-289,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000829,0.068280079068499,HuNS1,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-000834,0.0229698850984527,UM-UC-1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CLDN18
ACH-000837,0.0796931420209577,NCI-H322,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000859,-0.1366520323676943,HCC1954,Breast Ductal Carcinoma In Situ,Breast,False,CLDN18
ACH-000884,-0.0557905289424917,MDA-MB-435S,Melanoma,Skin,False,CLDN18
ACH-000896,-0.0707690774145829,647-V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CLDN18
ACH-000911,-0.0932919270858115,NUGC-3,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-000916,0.0878612964509458,NCI-H1573,Non-Small Cell Lung Cancer,Lung,False,CLDN18
