tissue,median_tpm,gene_symbol
Adrenal Gland,137.6,CD46
Salivary Gland,133.9,CD46
Lung,121.0,CD46
Nerve,100.8,CD46
Prostate,98.83,CD46
Adipose Tissue,97.27,CD46
Breast,97.22,CD46
Blood Vessel,93.02,CD46
Uterus,92.3,CD46
Ovary,89.69,CD46
Cervix Uteri,87.61,CD46
Vagina,85.87,CD46
Blood Vessel,85.24,CD46
Esophagus,84.59,CD46
Fallopian Tube,82.43,CD46
